2016-06-21 05:23:32.839 PM	****** Start Logging ******
2017-02-22 10:05:14.256 AM	doWork	WaiKitSalesReportHK.
2017-02-22 10:07:57.867 AM	doWork	KilySalesReportHK.
2017-02-22 10:10:19.738 AM	doWork	MarketingSalesReportHK.
2017-02-22 10:12:19.237 AM	doWork	Generate Taiwan Report.
2017-02-22 10:23:08.167 AM	doWork	--------End------------
2017-02-24 05:51:59.064 PM	doWork	--------Start----------
2017-02-24 05:52:04.599 PM	doWork	Generate HK Report.
2017-02-24 05:58:21.376 PM	doWork	--------End------------
2017-02-27 05:31:51.247 PM	doWork	--------Start----------
2017-02-27 05:32:35.788 PM	doWork	--------End------------
2017-02-27 05:45:32.244 PM	doWork	--------Start----------
2017-02-27 05:45:54.950 PM	doWork	Generate HK Report.
2017-02-27 05:46:17.589 PM	doWork	--------End------------
2017-02-27 05:49:01.766 PM	doWork	--------Start----------
2017-02-27 05:49:12.826 PM	doWork	Generate HK Report.
2017-02-27 05:49:25.161 PM	doWork	--------End------------
2017-02-28 02:14:37.715 PM	doWork	--------Start----------
2017-02-28 02:14:54.803 PM	doWork	Generate HK Report.
2017-02-28 02:15:18.165 PM	doWork	CookwareSalesReportHK.
2017-02-28 02:15:40.854 PM	doWork	--------End------------
2017-02-28 02:32:32.240 PM	doWork	--------Start----------
2017-02-28 02:32:41.956 PM	doWork	Generate HK Report.
2017-02-28 02:34:30.775 PM	doWork	--------Start----------
2017-02-28 02:34:34.422 PM	doWork	Generate HK Report.
2017-02-28 02:38:20.579 PM	doWork	--------Start----------
2017-02-28 02:38:24.432 PM	doWork	Generate HK Report.
2017-02-28 02:46:56.824 PM	doWork	CookwareSalesReportHK.
2017-02-28 02:53:18.155 PM	doWork	--------Start----------
2017-02-28 02:53:20.682 PM	doWork	Generate HK Report.
2017-03-01 09:35:05.590 AM	doWork	--------Start----------
2017-03-01 09:35:09.374 AM	doWork	Generate HK Report.
2017-03-30 03:52:58.597 PM	doWork	--------Start----------
2017-03-30 03:53:09.232 PM	doWork	Generate HK Report.
2017-03-30 03:56:45.505 PM	doWork	--------Start----------
2017-03-30 03:57:13.280 PM	doWork	Generate HK Report.
2017-03-30 04:06:52.796 PM	doWork	CookwareSalesReportHK.
2017-03-30 04:09:00.985 PM	doWork	SDASalesReportHK.
2017-03-30 04:10:29.228 PM	doWork	AntonioSalesReportHK.
2017-03-30 04:12:10.692 PM	doWork	CatherineSalesReportHK.
2017-03-30 04:14:56.749 PM	doWork	FelixSalesReportHK.
2017-03-30 04:17:07.642 PM	doWork	Cannot access 'FelixSalesReportHK.xlsx'.
2017-03-30 04:17:14.279 PM	doWork	JoeSalesReportHK.
2017-03-30 04:19:39.507 PM	doWork	SauYingSalesReportHK.
2017-03-30 04:21:54.363 PM	doWork	WaiKitSalesReportHK.
2017-03-30 04:23:48.857 PM	doWork	KilySalesReportHK.
2017-03-30 04:26:16.822 PM	doWork	MarketingSalesReportHK.
2017-03-30 04:28:55.959 PM	doWork	--------End------------
2017-05-31 11:07:47.376 AM	doWork	--------Start----------
2017-05-31 11:08:02.731 AM	doWork	Generate HK Report.
2017-05-31 11:20:06.634 AM	doWork	--------Start----------
2017-05-31 11:20:14.066 AM	doWork	Generate HK Report.
2017-05-31 11:27:53.711 AM	doWork	AntonioSalesReportHK.
2017-05-31 11:28:48.141 AM	doWork	--------Start----------
2017-05-31 11:28:53.669 AM	doWork	Generate HK Report.
2017-05-31 11:33:57.914 AM	doWork	AntonioSalesReportHK.
2017-05-31 11:36:29.635 AM	doWork	CatherineSalesReportHK.
2017-05-31 11:39:12.162 AM	doWork	FelixSalesReportHK.
2017-05-31 11:41:11.307 AM	doWork	JoeSalesReportHK.
2017-05-31 11:43:55.688 AM	doWork	SauYingSalesReportHK.
2017-05-31 11:47:06.802 AM	doWork	WaiKitSalesReportHK.
2017-05-31 11:50:05.962 AM	doWork	KilySalesReportHK.
2017-05-31 11:53:07.558 AM	doWork	MarketingSalesReportHK.
2017-05-31 11:56:02.918 AM	doWork	
2017-06-12 11:05:19.463 AM	doWork	--------Start----------
2017-06-13 12:02:30.559 PM	doWork	--------Start----------
2017-06-30 11:37:45.950 AM	doWork	--------Start----------
2017-06-30 11:38:10.366 AM	doWork	Generate HK Report.
2017-06-30 11:45:34.158 AM	doWork	--------Start----------
2017-06-30 11:45:40.734 AM	doWork	Generate HK Report.
2017-06-30 11:54:31.990 AM	doWork	CookwareSalesReportHK.
2017-06-30 11:58:20.958 AM	doWork	SDASalesReportHK.
2017-08-14 09:24:23.276 AM	doWork	--------Start----------
2017-08-14 09:24:30.846 AM	doWork	Generate HK Report.
2017-08-14 09:31:07.768 AM	doWork	--------End------------
2017-08-17 11:50:23.222 AM	doWork	--------Start----------
2017-08-17 11:50:36.325 AM	doWork	Generate HK Report.
2017-08-17 12:07:27.382 PM	doWork	--------Start----------
2017-08-17 03:29:00.774 PM	doWork	--------Start----------
2017-08-25 12:12:09.135 PM	doWork	--------Start----------
2017-08-25 12:12:15.331 PM	doWork	Generate HK Report.
2017-08-25 12:12:48.257 PM	doWork	General ODBC Error
2017-08-25 12:12:57.496 PM	doWork	General ODBC Error
2017-08-25 12:13:39.152 PM	doWork	--------Start----------
2017-08-25 12:13:44.932 PM	doWork	Generate HK Report.
2017-08-25 12:20:28.912 PM	doWork	CookwareSalesReportHK.
2017-08-25 12:22:44.625 PM	doWork	SDASalesReportHK.
2017-08-25 12:24:14.176 PM	doWork	AntonioSalesReportHK.
2017-08-25 12:25:48.017 PM	doWork	CatherineSalesReportHK.
2017-08-25 12:27:14.840 PM	doWork	FelixSalesReportHK.
2017-08-25 12:29:15.113 PM	doWork	JoeSalesReportHK.
2017-08-25 12:32:08.558 PM	doWork	SauYingSalesReportHK.
2017-08-25 12:33:28.276 PM	doWork	Cannot access 'SauYingSalesReportHK.xlsx'.
2017-08-25 12:33:28.298 PM	doWork	WaiKitSalesReportHK.
2017-08-25 12:37:12.777 PM	doWork	KilySalesReportHK.
2017-08-25 12:38:49.880 PM	doWork	MarketingSalesReportHK.
2017-08-25 12:40:37.626 PM	doWork	Generate Taiwan Report.
2017-08-25 12:44:55.995 PM	doWork	Exception from HRESULT: 0x800A03EC
2017-08-25 12:45:50.549 PM	doWork	Exception from HRESULT: 0x800A03EC
2017-08-25 12:46:00.402 PM	doWork	--------End------------
2017-09-28 09:23:23.956 AM	doWork	--------Start----------
2017-09-28 09:23:30.794 AM	doWork	Generate HK Report.
2017-09-29 04:28:39.382 PM	doWork	--------Start----------
2017-09-29 04:28:48.908 PM	doWork	Generate HK Report.
2017-09-29 04:36:56.468 PM	doWork	Cannot access 'SalesReportHK2016Corrected.xlsx'.
2017-09-29 04:45:51.355 PM	doWork	--------Start----------
2017-09-29 05:29:03.290 PM	doWork	--------Start----------
2017-09-29 05:29:15.038 PM	doWork	Generate HK Report.
2017-10-13 09:25:15.777 AM	doWork	--------Start----------
2017-10-13 09:25:23.487 AM	doWork	Generate HK Report.
2017-10-13 09:32:12.578 AM	doWork	--------Start----------
2017-10-13 09:32:17.972 AM	doWork	Generate HK Report.
2017-10-31 12:14:46.507 PM	doWork	--------Start----------
2017-10-31 12:15:02.908 PM	doWork	Generate HK Report.
2017-10-31 12:21:31.903 PM	doWork	General ODBC Error
2017-10-31 12:22:24.251 PM	doWork	General ODBC Error
2018-01-18 11:21:59.211 AM	doWork	--------Start----------
2018-01-18 11:22:35.787 AM	doWork	Generate HK Report.
2018-01-18 11:23:16.406 AM	doWork	FelixSalesReportHK.
2018-01-18 05:03:09.129 PM	doWork	--------Start----------
2018-01-18 05:03:28.351 PM	doWork	FelixSalesReportHK.
2018-01-24 09:13:53.243 AM	doWork	--------Start----------
2018-01-24 09:14:00.708 AM	doWork	Generate HK Report.
2018-01-24 09:14:52.996 AM	doWork	--------Start----------
2018-01-24 09:17:50.773 AM	doWork	General ODBC Error
2018-01-24 09:20:40.230 AM	doWork	--------Start----------
2018-01-24 09:21:17.161 AM	doWork	General ODBC Error
2018-01-24 09:24:01.561 AM	doWork	CookwareSalesReportHK.
2018-04-06 11:01:41.109 AM	doWork	--------Start----------
2018-04-11 05:05:57.582 PM	doWork	--------Start----------
2018-04-11 05:06:33.383 PM	doWork	Generate Taiwan Report.
2018-04-11 05:08:51.895 PM	doWork	--------Start----------
2018-04-11 05:09:20.316 PM	doWork	Generate Taiwan Report.
2018-04-11 05:10:58.511 PM	doWork	--------Start----------
2018-04-11 05:11:20.089 PM	doWork	Generate Taiwan Report.
2018-04-13 03:50:54.138 PM	doWork	--------Start----------
2018-05-02 12:20:04.495 PM	doWork	--------Start----------
2018-05-14 02:59:04.103 PM	doWork	--------Start----------
2018-05-15 09:23:37.654 AM	doWork	--------Start----------
2018-05-15 09:24:40.482 AM	doWork	Generate HK Report.
2018-05-15 10:01:13.377 AM	doWork	--------Start----------
2018-05-15 10:01:24.732 AM	doWork	Generate HK Report.
2018-05-15 10:11:19.441 AM	doWork	--------Start----------
2018-05-15 10:11:24.520 AM	doWork	Generate HK Report.
2018-05-15 10:12:46.273 AM	doWork	--------Start----------
2018-05-15 10:13:42.486 AM	doWork	--------Start----------
2018-05-15 10:13:49.258 AM	doWork	Generate HK Report.
2018-05-15 10:20:50.394 AM	doWork	Unable to get the PivotFields property of the PivotTable class
2018-05-23 11:47:27.483 AM	doWork	--------Start----------
2018-05-29 05:09:32.138 PM	doWork	--------Start----------
2018-05-29 05:09:37.772 PM	doWork	Generate HK Report.
2018-06-01 02:04:24.271 PM	doWork	--------Start----------
2018-06-01 02:04:30.332 PM	doWork	Generate HK Report.
2018-06-14 09:49:11.059 AM	doWork	--------Start----------
2018-06-14 09:49:14.628 AM	doWork	Generate HK Report.
2018-06-14 10:02:13.466 AM	doWork	--------Start----------
2018-06-14 10:02:19.256 AM	doWork	Generate HK Report.
2018-12-06 01:59:56.698 PM	doWork	--------Start----------
2018-12-06 01:59:57.154 PM	doWork	Generate HK Report.
2018-12-06 01:59:57.156 PM	doWork	SalesExtract
2018-12-06 02:03:58.038 PM	doWork	--------Start----------
2018-12-06 02:04:04.408 PM	doWork	Generate HK Report.
2018-12-06 02:04:04.423 PM	doWork	SalesExtract
2018-12-06 02:04:05.046 PM	doWork	SalesReportHK
2018-12-06 02:10:37.957 PM	doWork	--------Start----------
2018-12-06 02:10:43.619 PM	doWork	Generate HK Report.
2018-12-06 02:10:43.624 PM	doWork	SalesExtract
2018-12-06 02:10:47.492 PM	doWork	SalesReportHK
2018-12-06 02:10:47.495 PM	GenerateReport	SalesReportHK - GenerateReport
2018-12-06 02:10:47.496 PM	GenerateReport	SalesReportHK - After MySettings
2018-12-06 02:10:47.496 PM	GenerateReport	SalesReportHK - Try
2018-12-07 02:10:53.109 PM	doWork	--------Start----------
2018-12-07 02:11:02.431 PM	doWork	Generate HK Report.
2018-12-07 02:11:02.647 PM	doWork	SalesExtract
2018-12-07 02:11:11.767 PM	doWork	SalesReportHK
2018-12-07 02:11:11.947 PM	GenerateReport	SalesReportHK - GenerateReport
2018-12-07 02:11:11.947 PM	GenerateReport	SalesReportHK - After MySettings
2018-12-07 02:11:11.948 PM	GenerateReport	SalesReportHK - Try
2018-12-10 02:10:34.725 PM	doWork	--------Start----------
2018-12-10 02:10:38.675 PM	doWork	Generate HK Report.
2018-12-10 02:10:38.702 PM	doWork	SalesExtract
2018-12-10 02:10:43.047 PM	doWork	SalesReportHK
2018-12-10 02:10:43.057 PM	GenerateReport	SalesReportHK - GenerateReport
2018-12-10 02:10:43.058 PM	GenerateReport	SalesReportHK - After MySettings
2018-12-10 02:10:43.060 PM	GenerateReport	SalesReportHK - Try
2019-04-15 11:51:35.374 AM	doWork	--------Start----------
2019-04-15 11:52:23.488 AM	doWork	Generate HK Report.
2019-04-15 11:52:36.608 AM	doWork	SalesExtract
2019-04-15 11:54:28.443 AM	doWork	--------Start----------
2019-04-15 11:54:32.013 AM	doWork	Generate HK Report.
2019-04-15 11:54:36.116 AM	doWork	SalesExtract
